,Fish lenght[mm],eye area [mm²],yolk sac area [mm²],yolk sac breadth [mm]
control (fishwater)_C1-28,3.444,0.044000000000000004,0.195,0.41200000000000003
1% DMSO_C1-28,3.299,0.043,0.17600000000000002,0.435
C2,3.2654,0.038,0.131,0.3975
C3,3.1660000000000004,0.025,0.196,0.512
C5,3.503,0.045,0.154,0.43200000000000005
C7,3.2535,0.036000000000000004,0.18100000000000002,0.4695
C8,3.312,0.044000000000000004,0.165,0.414
C9,3.435,0.047,0.154,0.384
C10,3.1925,0.032,0.195,0.4405
C11,3.385,0.042,0.18100000000000002,0.435
C12,3.0385,0.037000000000000005,0.21,0.499
C13,3.162,0.038,0.184,0.4625
C14,3.142,0.032,0.1875,0.40299999999999997
C17,3.295,0.038,0.20800000000000002,0.507
C18,3.45,0.044000000000000004,0.2,0.433
C20,2.8055,0.026000000000000002,0.275,0.5375
C22,1.89,0.024,0.257,0.556
C23,3.533,0.047,0.191,0.414
C24,3.068,0.040999999999999995,0.228,0.474
C27,2.827,0.031,0.193,0.402
C28,3.0989999999999998,0.048,0.228,0.447
control (fishwater)_C29-58,3.556,0.047,0.16699999999999998,0.39299999999999996
1% DMSO_C29-58,3.315,0.043,0.19,0.41100000000000003
C34,3.2769999999999997,0.036000000000000004,0.205,0.49700000000000005
C35,3.4210000000000003,0.048,0.183,0.424
C38,2.762,0.037000000000000005,0.22899999999999998,0.46399999999999997
C39,3.321,0.035,0.21600000000000003,0.4485
C43,3.39,0.04,0.20600000000000002,0.47100000000000003
C44,3.375,0.039,0.226,0.483
C46,3.321,0.040999999999999995,0.203,0.428
C51,3.359,0.036000000000000004,0.19699999999999998,0.479
C52,3.407,0.045,0.18100000000000002,0.4035
C55,3.332,0.044000000000000004,0.188,0.441
control (fishwater)_C59-88,3.298,0.037000000000000005,0.17,0.47700000000000004
1% DMSO_C59-88,3.3655,0.042,0.18100000000000002,0.483
C60,3.3365,0.04,0.1655,0.4415
C61,3.052,0.035,0.217,0.514
C63,3.3689999999999998,0.040999999999999995,0.177,0.44
C64,3.1225,0.0335,0.205,0.5075
C65,3.07,0.037000000000000005,0.24,0.5515
C66,3.342,0.0395,0.1665,0.4255
C67,3.3360000000000003,0.037000000000000005,0.214,0.522
C70,3.157,0.0375,0.2015,0.4335
C71,3.095,0.033,0.172,0.491
C72,3.138,0.044000000000000004,0.231,0.518
C73,3.2095,0.0345,0.187,0.462
C74,2.9875,0.036000000000000004,0.2425,0.5355
C76,3.362,0.038,0.1715,0.4475
C77,3.205,0.039,0.16699999999999998,0.405
C80,3.3139999999999996,0.0415,0.17600000000000002,0.449
C82,3.0980000000000003,0.036000000000000004,0.198,0.43
C86,3.262,0.046,0.209,0.491
